description,code,style,topic,keywords
#description[Описание задачи],code[Код С++],style[using_namespace_std/std],topic[Тема],keywords[int/for/if/ternary_operator/class/...]
# ----------------------------------------------------------------------------------------------------------------------------------------
#
# БЛОК 1: Базовые темы                          Fundamentals
#
# ----------------------------------------------------------------------------------------------------------------------------------------
#       - базовый ввод-вывод                    basic_io                        cin, cout                       (2%) ~100 строк         02
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"напиши программу которая выводит 'Hello World'","#include <iostream>\nusing namespace std;\n\nint main() {\n    cout << \"Hello World\" << endl;\n    return 0;\n}","using_namespace_std","basic_io","cout"
"напиши программу которая выводит 'Hello World' без using namespace std","#include <iostream>\n\nint main() {\n    std::cout << \"Hello World\" << std::endl;\n    return 0;\n}","std","basic_io","std::cout"
#
"напиши программу которая выводит приветствие с вводимым именем","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n    string name;\n    cout << \"Введите ваше имя: \";\n    cin >> name;\n    cout << \"Привет, \" << name << \"!\" << endl;\n    return 0;\n}","using_namespace_std","basic_io","cin,cout,string"
"напиши программу которая выводит приветствие с вводимым именем без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n    std::string name;\n    std::cout << \"Введите ваше имя: \";\n    std::cin >> name;\n    std::cout << \"Привет, \" << name << \"!\" << std::endl;\n    return 0;\n}","std","basic_io","std::cin,std::cout,std::string"
#



# ----------------------------------------------------------------------------------------------------------------------------------------
#       - работа с переменными                  variables_operations                                            (2%) ~100 строк         13
# ----------------------------------------------------------------------------------------------------------------------------------------
#
"создай программу которая проверяет положительное ли вводимое целое число","#include <iostream>\nusing namespace std;\n\nint main() {\n    int num;\n    cout << \"Введите число: \";\n    cin >> num;\n    cout << \"Число \" << (num > 0 ? \"положительное\" : \"не положительное\") << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,ternary_operator"
"создай программу которая проверяет положительное ли вводимое целое число без using namespace std","#include <iostream>\n\nint main() {\n    int num;\n    std::cout << \"Введите число: \";\n    std::cin >> num;\n    std::cout << \"Число \" << (num > 0 ? \"положительное\" : \"не положительное\") << std::endl;\n    return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,int,ternary_operator"
#
"напиши программу которая меняет местами значения двух вводимых переменных","#include <iostream>\nusing namespace std;\n\nint main() {\n    int a, b, temp;\n    cout << \"Введите a и b: \";\n    cin >> a >> b;\n    \n    temp = a;\n    a = b;\n    b = temp;\n    \n    cout << \"После обмена: a = \" << a << \" b = \" << b << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cin,cout,int"
"напиши программу которая меняет местами значения двух вводимых переменных без using namespace std","#include <iostream>\n\nint main() {\n    int a, b, temp;\n    std::cout << \"Введите a и b: \";\n    std::cin >> a >> b;\n    \n    temp = a;\n    a = b;\n    b = temp;\n    \n    std::cout << \"После обмена: a = \" << a << \" b = \" << b << std::endl;\n    return 0;\n}","std","variables_operations","std::cin,std::cout,int"
#
"создай программу которая меняет местами значения двух вводимых переменных с использованием swap","#include <iostream>\nusing namespace std;\n\nint main() {\n    int a, b;\n    cout << \"Введите a и b: \";\n    cin >> a >> b;\n    swap(a, b);\n    cout << \"После обмена: a=\" << a << \", b=\" << b << endl;\n    return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,swap"
